icao24,callsign,timestamp,latitude,longitude,altitude,on_ground,ground_speed,vertical_speed,ground_accel,heading,turn_rate,flight_duration,max_altitude,altitude_range
0d0cfd,VOI9692,2025-12-16 20:26:51,25.7731,-100.0971,304.0,False,0.0,0.0,0.0,302.1164577830406,0.0,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:27:01,25.776814285714284,-100.10367142857143,412.92857142857144,False,77.70576849601372,10.892857142857144,7.770576849601372,302.1164577830406,0.0,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:27:11,25.780528571428572,-100.11024285714285,521.8571428571429,False,77.70403866695764,10.892857142857144,-0.00017298290560745498,302.1172656367256,8.078536850462115e-05,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:27:21,25.784416666666665,-100.11709166666667,634.4166666666666,False,81.08215563541634,11.255952380952374,0.33781169684586987,302.23150479334635,0.011423915662072659,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:27:31,25.789,-100.12505,761.5,False,94.60192349214267,12.708333333333337,1.3519767856726332,302.60506376461393,0.037355897126758464,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:27:41,25.793583333333334,-100.13300833333334,888.5833333333334,False,94.59935173960778,12.708333333333337,-0.00025717525348909474,302.60606928825587,0.0001005523641936179,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:27:51,25.798538095238094,-100.1419142857143,1030.1904761904761,False,104.8365963715851,14.160714285714278,1.0237244631977318,301.7146523876119,-0.08914169006439465,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:28:01,25.803585714285713,-100.15105714285714,1175.4285714285716,False,107.39679719160571,14.523809523809541,0.25602008200206117,301.51920777287864,-0.019544461473327602,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:28:11,25.808970588235294,-100.16092352941176,1344.5882352941176,False,115.53480441477541,16.9159663865546,0.8138007223169694,301.228039494287,-0.02911682785916696,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:28:21,25.8145,-100.1711,1524.0,False,119.02082413044207,17.941176470588243,0.3486019715666657,301.1161839281465,-0.01118555661404912,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:28:31,25.819666666666667,-100.1811,1777.3333333333333,False,115.45921316825141,25.333333333333325,-0.3561610962190656,299.8560002450467,-0.12601836830997967,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:28:41,25.824753333333334,-100.19067333333334,1828.0,False,111.30895831034752,5.066666666666674,-0.4150254857903889,300.5544238854356,0.06984236403889099,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:28:51,25.829762499999998,-100.2001875,1942.375,False,110.36007469053087,11.4375,-0.09488836198166553,300.3264001515134,-0.0228023733922214,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:29:01,25.8346375,-100.2098125,2323.625,False,110.58508899070523,38.125,0.02250143001743652,299.36961095458554,-0.09567891969278434,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:29:11,25.83970769230769,-100.22026538461539,2520.1153846153848,False,118.90020492649194,19.649038461538474,0.8315115935786708,298.323613151932,-0.10459978026535169,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:29:21,25.844861538461537,-100.23107307692307,2637.423076923077,False,122.47214041037508,11.730769230769237,0.3571935483883138,297.9194709966318,-0.040414215530023515,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:29:31,25.85009583333333,-100.242075,2755.7083333333335,False,124.60608896285987,11.828525641025635,0.2133948552484796,297.8655237342361,-0.005394726239569536,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:29:41,25.856054166666667,-100.254825,2882.7916666666665,False,143.84818455468715,12.708333333333304,1.924209559182728,297.44534563803984,-0.04201780961962527,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:29:51,25.862012500000002,-100.267575,3009.875,False,143.84251764865823,12.708333333333348,-0.0005666906028920949,297.4465272667819,0.0001181628742074281,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:30:01,25.868155555555557,-100.28061666666667,3166.222222222222,False,147.3740960551965,15.634722222222218,0.35315784065382727,297.63366537499166,0.01871381082097514,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:30:11,25.874377777777777,-100.29378333333334,3335.1111111111113,False,148.884492393158,16.888888888888914,0.15103963379615096,297.7118821349011,0.007821675990942367,9150.0,11582.0,11278.0
0d0cfd,VOI9692,2025-12-16 20:30:21,25.881035294117645,-100.30748823529412,3513.470588235294,False,155.90238358052176,17.83594771241828,0.7017891187363745,298.36825727531044,0.06563751404093524,9150.0,11582.0,11278.0
