icao24,callsign,timestamp,latitude,longitude,altitude,on_ground,ground_speed,vertical_speed,ground_accel,heading,turn_rate,flight_duration,max_altitude,altitude_range,anomaly_rule,anomaly_reason,anomaly_ml,anomaly_score,shape_anomaly,cluster,anomaly_combined
0d0cfd,VOI9692,2025-12-16 20:26:51,25.7731,-100.0971,304.0,False,0.0,0.0,0.0,302.1164577830406,0.0,9150.0,11582.0,11278.0,False,,False,-0.42048521062716904,True,-1,True
0d0cfd,VOI9692,2025-12-16 20:27:01,25.776814285714284,-100.10367142857145,412.9285714285714,False,77.70576849601372,10.892857142857144,7.770576849601372,302.1164577830406,0.0,9150.0,11582.0,11278.0,True,EXTREME_ACCELERATION;,False,-0.42048521062716904,True,-1,True
0d0cfd,VOI9692,2025-12-16 20:27:11,25.78052857142857,-100.11024285714284,521.8571428571429,False,77.70403866695764,10.892857142857144,-0.0001729829056074,302.1172656367256,8.078536850462115e-05,9150.0,11582.0,11278.0,False,,False,-0.42048521062716904,True,-1,True
0d0cfd,VOI9692,2025-12-16 20:27:21,25.784416666666665,-100.11709166666668,634.4166666666666,False,81.08215563541634,11.255952380952374,0.3378116968458698,302.23150479334635,0.0114239156620726,9150.0,11582.0,11278.0,False,,False,-0.42048521062716904,True,-1,True
0d0cfd,VOI9692,2025-12-16 20:27:31,25.789,-100.12505,761.5,False,94.60192349214267,12.708333333333336,1.3519767856726332,302.605063764614,0.0373558971267584,9150.0,11582.0,11278.0,False,,False,-0.42048521062716904,True,-1,True
0d0cfd,VOI9692,2025-12-16 20:27:41,25.79358333333333,-100.13300833333334,888.5833333333334,False,94.59935173960778,12.708333333333336,-0.000257175253489,302.60606928825587,0.0001005523641936,9150.0,11582.0,11278.0,False,,False,-0.42048521062716904,True,-1,True
0d0cfd,VOI9692,2025-12-16 20:27:51,25.798538095238094,-100.1419142857143,1030.190476190476,False,104.8365963715851,14.160714285714278,1.0237244631977318,301.7146523876119,-0.0891416900643946,9150.0,11582.0,11278.0,False,,False,-0.42048521062716904,True,-1,True
0d0cfd,VOI9692,2025-12-16 20:28:01,25.803585714285717,-100.15105714285714,1175.4285714285716,False,107.39679719160571,14.52380952380954,0.2560200820020611,301.51920777287864,-0.0195444614733276,9150.0,11582.0,11278.0,False,,False,-0.42048521062716904,True,-1,True
0d0cfd,VOI9692,2025-12-16 20:28:11,25.808970588235294,-100.16092352941176,1344.5882352941176,False,115.5348044147754,16.9159663865546,0.8138007223169694,301.228039494287,-0.0291168278591669,9150.0,11582.0,11278.0,False,,False,-0.42048521062716904,True,-1,True
0d0cfd,VOI9692,2025-12-16 20:28:21,25.8145,-100.1711,1524.0,False,119.02082413044208,17.941176470588243,0.3486019715666657,301.1161839281465,-0.0111855566140491,9150.0,11582.0,11278.0,False,,False,-0.42048521062716904,True,-1,True
0d0cfd,VOI9692,2025-12-16 20:28:31,25.819666666666667,-100.1811,1777.3333333333333,False,115.4592131682514,25.333333333333325,-0.3561610962190656,299.8560002450467,-0.1260183683099796,9150.0,11582.0,11278.0,True,UNUSUAL_VERTICAL_SPEED;,False,-0.42048521062716904,True,-1,True
0d0cfd,VOI9692,2025-12-16 20:28:41,25.824753333333334,-100.19067333333334,1828.0,False,111.30895831034752,5.066666666666674,-0.4150254857903889,300.5544238854356,0.0698423640388909,9150.0,11582.0,11278.0,False,,False,-0.42048521062716904,True,-1,True
